"","trace_name","quantile","score1.n","score1.w","score1_adj.n","score1_adj.w","score2.n","score2.w","score2_adj.n","score2_adj.w"
"1","1010498",0.9999,0.894736842105263,19,0.866666666666667,15,0.132193646996279,48,0.0969065656565656,48
"2","1010508",0.9999,1,50,1,50,0.439119706634581,50,0.439119706634581,50
"3","1010540",0.9999,0.995,50,0.995,50,0.584679840905258,50,0.584679840905258,50
"4","1010562",0.9999,NA,0,NA,0,0,38,0,38
"5","1010567",0.9999,NA,0,NA,0,0,34,0,34
"6","1010611",0.9999,1,8,1,8,0.112615173106666,46,0.112615173106666,46
"7","1010614",0.9999,0.8,5,0.666666666666667,3,0.0602544429142895,48,0.0341005967604433,48
"8","1010690",0.9999,0.666666666666667,3,0,1,0.0109036390895461,46,0,46
"9","1010714",0.9999,0.985,50,0.985,50,0.356902554495248,50,0.356902554495248,50
"10","1010723",0.9999,0.988095238095238,21,0.988095238095238,21,0.135895300800564,50,0.135895300800564,50
"11","1010730",0.9999,1,49,1,49,0.316474434497002,50,0.316474434497002,50
"12","1010794",0.9999,0.95,25,0.956521739130435,23,0.31962043994461,49,0.283412408344873,49
"13","1013889",0.9999,1,21,1,21,0.179159277504105,50,0.179159277504105,50
"14","1013891",0.9999,1,6,1,6,0.0805291005291005,50,0.0805291005291005,50
"15","1013911",0.9999,0.964285714285714,7,0.964285714285714,7,0.0652973569827205,50,0.0652973569827205,50
"16","1013935",0.9999,1,2,1,2,0.0274285714285714,50,0.0274285714285714,50
"17","1013936",0.9999,1,50,1,50,0.629267651888342,50,0.629267651888342,50
"18","1013944",0.9999,1,9,1,9,0.0790411402656301,49,0.0790411402656301,49
"19","1013965",0.9999,NA,0,NA,0,0,50,0,50
"20","1013976",0.9999,1,3,1,3,0.0147089947089947,50,0.0147089947089947,50
"21","1013982",0.9999,1,8,1,8,0.103239411660464,50,0.103239411660464,50
"22","1013990",0.9999,NA,0,NA,0,0,50,0,50
"23","1014019",0.9999,1,1,1,1,0.0145454545454545,50,0.0145454545454545,50
"24","1014046",0.9999,1,17,1,17,0.265320197044335,50,0.265320197044335,50
"25","1014048",0.9999,NA,0,NA,0,0,50,0,50
"26","1014056",0.9999,1,37,1,37,0.150628206531655,50,0.150628206531655,50
"27","1014060",0.9999,1,2,1,2,0.0228571428571429,50,0.0228571428571429,50
"28","1014077",0.9999,1,2,1,2,0.0247619047619048,50,0.0247619047619048,50
"29","1014094",0.9999,1,1,1,1,0.00285714285714286,50,0.00285714285714286,50
"30","1014096",0.9999,1,3,1,3,0.0347381864623244,50,0.0347381864623244,50
"31","1014098",0.9999,0.98,50,0.98,50,0.482663194894083,49,0.482663194894083,49
"32","1014119",0.9999,1,1,1,1,0.00571428571428571,50,0.00571428571428571,50
"33","1014128",0.9999,1,6,1,6,0.0593913043478261,50,0.0593913043478261,50
"34","1014150",0.9999,1,10,1,10,0.100656814449918,50,0.100656814449918,50
"35","1014155",0.9999,1,2,1,2,0.00646469768031436,49,0.00646469768031436,49
"36","1014163",0.9999,1,13,1,13,0.090357671957672,50,0.090357671957672,50
"37","1014164",0.9999,1,11,1,11,0.113832512315271,50,0.113832512315271,50
"38","1014172",0.9999,1,2,1,2,0.00888888888888889,50,0.00888888888888889,50
"39","1014213",0.9999,NA,0,NA,0,0,50,0,50
"40","1014271",0.9999,1,18,1,18,0.138419996351031,50,0.138419996351031,50
"41","1014286",0.9999,1,8,1,8,0.094935960591133,50,0.094935960591133,50
"42","1014294",0.9999,1,31,1,31,0.499901477832512,50,0.499901477832512,50
"43","1014302",0.9999,1,5,1,5,0.0411789487651557,50,0.0411789487651557,50
"44","1014304",0.9999,1,1,1,1,0.0123076923076923,50,0.0123076923076923,50
"45","1014307",0.9999,NA,0,NA,0,0,50,0,50
"46","1014312",0.9999,1,1,1,1,0.0110344827586207,50,0.0110344827586207,50
"47","1014361",0.9999,1,5,1,5,0.071957671957672,50,0.071957671957672,50
"48","1014363",0.9999,1,10,1,10,0.117431789155927,50,0.117431789155927,50
"49","1014365",0.9999,1,19,1,19,0.318662905421526,50,0.318662905421526,50
"50","1014371",0.9999,0.979166666666667,12,0.979166666666667,12,0.204682530529607,50,0.204682530529607,50
"51","1014403",0.9999,NA,0,NA,0,0,50,0,50
"52","1014420",0.9999,NA,0,NA,0,0,50,0,50
"53","1014435",0.9999,1,4,1,4,0.0420952380952381,50,0.0420952380952381,50
"54","1014447",0.9999,NA,0,NA,0,0,50,0,50
"55","1014469",0.9999,NA,0,NA,0,0,50,0,50
"56","1014484",0.9999,1,1,1,1,0.0148148148148148,50,0.0148148148148148,50
"57","1014493",0.9999,NA,0,NA,0,0,50,0,50
"58","1014550",0.9999,1,1,1,1,0.00444444444444444,50,0.00444444444444444,50
"59","1014566",0.9999,1,1,1,1,0.00761904761904762,50,0.00761904761904762,50
"60","1014582",0.9999,1,5,1,5,0.0602408319649699,50,0.0602408319649699,50
"61","1014593",0.9999,0.98936170212766,47,0.98936170212766,47,0.865601027325165,50,0.865601027325165,50
"62","1014600",0.9999,1,10,1,10,0.0484135124135124,50,0.0484135124135124,50
